4000 4000 4000
2957 1504 3161 3080
1450 684 1612 3028
160 2732 1559 2823
2484 2444 2729 3252
1380 2468 2647 3957
2761 812 3107 2314
855 430 3800 1978
932 209 2930 3544
672 1036 3729 2310
1405 3296 1960 3648
2787 491 2908 881
2727 275 3497 2751
471 641 1948 3999
530 333 2529 1509
582 1118 2903 3573
636 3876 1356 3968
1924 1128 3003 2402
2294 558 3914 2444
1041 1893 3932 2673
1521 1122 2307 1783
708 2916 3677 3222
3095 2957 3240 3336
2587 504 3535 3441
1569 2163 1999 2876
2914 1920 3140 3630
1565 1573 3263 3921
8 1172 3394 2545
1106 1374 3876 3715
2349 2983 3057 3682
2484 2574 3771 3793
2888 471 3212 1201
795 3016 2783 3844
2189 2978 3163 3268
939 2336 1082 3271
1905 344 3888 3121
2267 358 3208 3947
3481 2569 3539 3576
1932 3304 2624 3451
977 244 3287 1680
1828 2411 3319 2682
2821 1825 3691 1927
1644 2220 2668 3883
651 510 2583 1668
1523 419 3561 1535
436 228 1208 2579
2768 977 3449 1066
2324 1988 2867 3062
376 3601 1669 3660
1634 1092 3383 1753
650 184 3302 2615
966 1778 3511 2718
1426 1540 3630 2404
2260 2403 2536 3819
1657 2547 3442 3387
803 1929 3400 2689
178 752 3134 2736
988 844 3697 881
2796 1584 3585 3849
771 3462 925 3476
910 851 1918 2826
168 1880 784 2128
497 1535 3139 3858
3347 189 3560 2967
1439 825 2039 1372
327 730 481 3744
2191 3038 3569 3113
1198 1667 3001 2258
170 3118 2971 3371
2314 1615 3525 3693
700 507 2170 2768
979 1508 2680 2812
1570 1214 2707 3670
586 400 2073 1316
967 1131 2825 3772
374 335 1447 3015
1387 1501 3372 2302
1759 442 3296 1031
965 1738 3635 3150
2530 1013 2866 2816
2214 750 3939 1368
216 830 744 1669
458 655 3182 2641
884 2789 1529 3627
817 1221 1060 2349
3144 767 3241 1511
1155 1726 2103 3296
444 2103 3184 2171
215 1476 2100 3377
1050 138 1594 2398
225 2770 3037 2772
2309 431 3388 1798
1650 1303 2220 3148
48 1666 3019 1805
1856 297 2158 3233
400 2226 951 3845
739 3083 803 3513
1238 253 1955 2355
346 2130 713 2551
389 2162 1245 3985
1212 2084 2201 2461
2140 1165 3531 3872
1757 2175 1897 2357
2371 1932 3950 3270
256 2941 1612 2964
1768 2497 2744 3869
2290 1984 2296 3180
1790 1687 3400 3373
13 1552 145 3639
321 327 3239 2398
132 2355 2314 3500
382 1050 3389 3579
